source,target,timestamp,id,lang
芄蘭,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 6, 9, 25), datetime.datetime(2020, 4, 6, 9, 23), datetime.datetime(2020, 4, 6, 9, 22), datetime.datetime(2020, 4, 6, 9, 5), datetime.datetime(2020, 4, 6, 9, 1), datetime.datetime(2020, 4, 6, 8, 26), datetime.datetime(2020, 4, 6, 8, 16), datetime.datetime(2020, 4, 6, 8, 12), datetime.datetime(2020, 4, 6, 8, 2), datetime.datetime(2020, 4, 6, 7, 52), datetime.datetime(2020, 4, 6, 7, 40), datetime.datetime(2020, 4, 6, 7, 37), datetime.datetime(2020, 4, 6, 7, 34), datetime.datetime(2020, 4, 6, 7, 22), datetime.datetime(2020, 4, 6, 7, 20), datetime.datetime(2020, 4, 6, 7, 15), datetime.datetime(2020, 4, 6, 7, 11), datetime.datetime(2020, 4, 6, 7, 5), datetime.datetime(2020, 4, 6, 6, 58), datetime.datetime(2020, 4, 6, 6, 57), datetime.datetime(2020, 4, 6, 6, 46), datetime.datetime(2020, 4, 4, 17, 33), datetime.datetime(2020, 3, 17, 8, 4), datetime.datetime(2020, 3, 17, 7, 10), datetime.datetime(2020, 3, 17, 7, 8), datetime.datetime(2020, 3, 16, 14, 16), datetime.datetime(2020, 3, 16, 14, 14), datetime.datetime(2020, 2, 13, 13, 47), datetime.datetime(2020, 2, 13, 13, 39), datetime.datetime(2020, 2, 13, 13, 36), datetime.datetime(2020, 2, 7, 11, 0), datetime.datetime(2020, 2, 7, 10, 57)]","['59015829', '59015798', '59015772', '59015424', '59015322', '59014660', '59014453', '59014361', '59014209', '59014035', '59013795', '59013747', '59013664', '59013391', '59013365', '59013257', '59013148', '59013018', '59012850', '59012822', '59012563', '58983942', '58669945', '58669148', '58669124', '58658233', '58658210', '58138884', '58138767', '58138717', '58031942', '58031916']",zh
BladeRunner2077,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 4, 18, 46), datetime.datetime(2020, 4, 4, 18, 43), datetime.datetime(2020, 4, 4, 18, 34), datetime.datetime(2020, 4, 4, 18, 27), datetime.datetime(2020, 4, 4, 18, 25), datetime.datetime(2019, 12, 15, 19, 43), datetime.datetime(2019, 12, 15, 19, 38), datetime.datetime(2019, 11, 13, 15, 38), datetime.datetime(2019, 11, 10, 9, 41), datetime.datetime(2019, 11, 10, 9, 40), datetime.datetime(2019, 10, 29, 2, 5), datetime.datetime(2019, 10, 29, 2, 3), datetime.datetime(2019, 2, 1, 3, 9), datetime.datetime(2018, 12, 22, 5, 30), datetime.datetime(2018, 12, 22, 5, 29)]","['58984497', '58984465', '58984388', '58984339', '58984323', '57273639', '57273605', '56863122', '56821657', '56821650', '56662807', '56662775', '53020648', '52475736', '52475723']",zh
雷电剑雨,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 3, 28, 12, 28)]",['58849064'],zh
Techyan,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 3, 17, 8, 4), datetime.datetime(2020, 3, 17, 7, 35), datetime.datetime(2020, 3, 16, 15, 50), datetime.datetime(2019, 10, 23, 13, 26), datetime.datetime(2019, 6, 14, 12, 15), datetime.datetime(2019, 6, 14, 12, 12), datetime.datetime(2019, 6, 4, 13, 27), datetime.datetime(2019, 3, 23, 4, 16), datetime.datetime(2019, 2, 20, 4, 0), datetime.datetime(2019, 11, 3, 20, 52), datetime.datetime(2018, 6, 5, 7, 49), datetime.datetime(2018, 6, 4, 7, 7), datetime.datetime(2018, 6, 4, 7, 4), datetime.datetime(2018, 6, 4, 6, 48), datetime.datetime(2018, 6, 4, 6, 48), datetime.datetime(2018, 6, 4, 6, 47), datetime.datetime(2018, 6, 4, 6, 41)]","['58669952', '58669524', '58660239', '56589246', '54818901', '54818873', '54684567', '53695347', '53269438', '52778814', '49851826', '49837034', '49837007', '49836805', '49836802', '49836795', '49836728']",zh
Wjabc1996bingnan,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 3, 16, 18, 58), datetime.datetime(2020, 3, 10, 17, 35), datetime.datetime(2020, 3, 2, 2, 50)]","['58662879', '58557002', '58420669']",zh
D7CY689,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 2, 19, 0, 21), datetime.datetime(2020, 2, 18, 23, 32)]","['58220906', '58220696']",zh
420peace,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 2, 5, 9, 50), datetime.datetime(2018, 12, 26, 17, 40), datetime.datetime(2018, 11, 1, 11, 45), datetime.datetime(2018, 1, 8, 7, 22), datetime.datetime(2018, 1, 8, 6, 30), datetime.datetime(2014, 10, 18, 5, 50)]","['58001971', '52535630', '47793400', '47727880', '47727281', '33004216']",zh
アハちゃん,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 2, 3, 13, 16)]",['57975789'],zh
朴益顺安,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 12, 7, 11, 46)]",['57873120'],zh
Patlabor Ingram,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 1, 10, 7, 35), datetime.datetime(2018, 7, 13, 3, 6), datetime.datetime(2018, 7, 13, 3, 5)]","['57635777', '50380880', '50380866']",zh
Njzjz,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 27, 22, 35), datetime.datetime(2018, 6, 4, 8, 51), datetime.datetime(2018, 6, 4, 8, 40), datetime.datetime(2018, 6, 4, 8, 18), datetime.datetime(2017, 3, 24, 4, 34), datetime.datetime(2015, 2, 15, 7, 37), datetime.datetime(2015, 2, 15, 6, 48), datetime.datetime(2015, 2, 15, 6, 19)]","['57459047', '49838438', '49838255', '49837943', '43729648', '34327471', '34326874', '34326513']",zh
No1lovesu,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 19, 18, 31), datetime.datetime(2019, 12, 19, 18, 25), datetime.datetime(2019, 10, 20, 18, 38), datetime.datetime(2019, 6, 4, 8, 10), datetime.datetime(2019, 6, 2, 14, 49), datetime.datetime(2019, 6, 2, 10, 12), datetime.datetime(2019, 6, 2, 8, 12), datetime.datetime(2019, 5, 23, 10, 52), datetime.datetime(2019, 5, 23, 10, 37), datetime.datetime(2018, 11, 20, 8, 16), datetime.datetime(2018, 10, 11, 10, 50), datetime.datetime(2018, 10, 11, 10, 47), datetime.datetime(2018, 10, 11, 10, 38), datetime.datetime(2018, 7, 19, 6, 16), datetime.datetime(2018, 6, 20, 9, 59), datetime.datetime(2018, 5, 24, 1, 4), datetime.datetime(2018, 3, 1, 19, 29), datetime.datetime(2018, 3, 1, 19, 24), datetime.datetime(2017, 10, 22, 14, 10), datetime.datetime(2017, 8, 18, 4, 29)]","['57327277', '57327252', '56553002', '54680786', '54660472', '54656808', '54655442', '54523601', '54523475', '52090994', '51604470', '51604441', '51604326', '50478097', '50057268', '49691818', '48499760', '48499733', '46670646', '45729887']",zh
