id,lang,type
Chickensarebleepssorryuncle,"{'en': 81, 'zh': 1}",user
BIGtoken,"{'en': 9, 'zh': 0}",user
Tart,"{'en': 25, 'zh': 60}",user
Boud,"{'en': 38, 'zh': 0}",user
KevinP,"{'en': 80, 'zh': 0}",user
Cold Season,"{'en': 1, 'zh': 0}",user
Magyar25,"{'en': 41, 'zh': 0}",user
Guofenghao22,"{'en': 19, 'zh': 2}",user
JamesLee,"{'en': 74, 'zh': 49}",user
Hunter Hutchins,"{'en': 1, 'zh': 0}",user
Cooleric,"{'en': 56, 'zh': 0}",user
Colliric,"{'en': 56, 'zh': 0}",user
WP Ludicer,"{'en': 1, 'zh': 0}",user
Dafteire,"{'en': 61, 'zh': 0}",user
Jozamba,"{'en': 68, 'zh': 0}",user
Fullmetal2887,"{'en': 34, 'zh': 0}",user
Canterbury Tail,"{'en': 1, 'zh': 0}",user
Haqeem Putra,"{'en': 1, 'zh': 0}",user
Cosmopolitan268,"{'en': 43, 'zh': 0}",user
KingofGangsters,"{'en': 69, 'zh': 1}",user
Dmx239,"{'en': 14, 'zh': 0}",user
Jo-Jo Eumerus,"{'en': 1, 'zh': 0}",user
Super5000,"{'en': 9, 'zh': 7}",user
GreenC bot,"{'en': 1, 'zh': 0}",user
Shellwood,"{'en': 80, 'zh': 0}",user
19chiaki97,"{'en': 2, 'zh': 0}",user
Dayirmiter,"{'en': 49, 'zh': 0}",user
ZombieStar,"{'en': 29, 'zh': 0}",user
Mx. Granger,"{'en': 1, 'zh': 0}",user
I dream of horses,"{'en': 1, 'zh': 0}",user
White whirlwind,"{'en': 1, 'zh': 0}",user
Hoav777,"{'en': 12, 'zh': 42}",user
Somebody500,"{'en': 83, 'zh': 0}",user
Mikeblas,"{'en': 66, 'zh': 1}",user
RaviC,"{'en': 71, 'zh': 18}",user
Pol098,"{'en': 49, 'zh': 0}",user
Tobby72,"{'en': 65, 'zh': 4}",user
Werdna,"{'en': 62, 'zh': 2}",user
Obzerva,"{'en': 24, 'zh': 0}",user
Moalli,"{'en': 35, 'zh': 0}",user
P.T. Aufrette,"{'en': 1, 'zh': 0}",user
Sesamehoneytart,"{'en': 97, 'zh': 0}",user
Nickkpoon,"{'en': 51, 'zh': 3}",user
Robertogamerxxx,"{'en': 54, 'zh': 1}",user
Lmmnhn,"{'en': 27, 'zh': 20}",user
Þjarkur,"{'en': 1, 'zh': 0}",user
Ashis Mitra,"{'en': 1, 'zh': 0}",user
WardaddyInTheMood,"{'en': 36, 'zh': 0}",user
Benjaminikuta,"{'en': 70, 'zh': 0}",user
WillisChiuYT,"{'en': 10, 'zh': 0}",user
Ariadacapo,"{'en': 72, 'zh': 15}",user
Rchard2scout,"{'en': 97, 'zh': 0}",user
SS49,"{'en': 69, 'zh': 1}",user
DarrenPHS,"{'en': 21, 'zh': 0}",user
Rzzgn,"{'en': 39, 'zh': 46}",user
NiciVampireHeart,"{'en': 83, 'zh': 0}",user
Foster tree,"{'en': 1, 'zh': 0}",user
Vamvima,"{'en': 5, 'zh': 0}",user
Doctorsdse,"{'en': 34, 'zh': 46}",user
Moxy,"{'en': 50, 'zh': 1}",user
Cheenarman,"{'en': 55, 'zh': 0}",user
Kanguole,"{'en': 62, 'zh': 1}",user
Kwamikagami,"{'en': 39, 'zh': 48}",user
Radom1967,"{'en': 44, 'zh': 1}",user
MainBody,"{'en': 31, 'zh': 37}",user
“六四事件”的版本历史 - 维基百科，自由的百科全书,{'zh': 1},article
Nexusyeh,"{'en': 8, 'zh': 51}",user
Megumisbs,"{'en': 55, 'zh': 45}",user
Shizhao,"{'en': 68, 'zh': 67}",user
Huanqiu,"{'en': 0, 'zh': 51}",user
ZWH2020ZY,"{'en': 0, 'zh': 33}",user
Kixean777,"{'en': 38, 'zh': 54}",user
AlexLeeCN,"{'en': 4, 'zh': 55}",user
Natureindex,"{'en': 6, 'zh': 17}",user
雷电剑雨,"{'en': 0, 'zh': 1}",user
Peter-bomb king,"{'en': 0, 'zh': 1}",user
Techyan,"{'en': 22, 'zh': 78}",user
Wjabc1996bingnan,"{'en': 2, 'zh': 42}",user
D7CY689,"{'en': 1, 'zh': 32}",user
420peace,"{'en': 16, 'zh': 16}",user
アハちゃん,"{'en': 0, 'zh': 1}",user
朴益顺安,"{'en': 0, 'zh': 1}",user
乘龙观音,"{'en': 0, 'zh': 1}",user
Patlabor Ingram,"{'en': 0, 'zh': 1}",user
Njzjz,"{'en': 38, 'zh': 61}",user
No1lovesu,"{'en': 28, 'zh': 30}",user
Aronlee90,"{'en': 64, 'zh': 63}",user
蟲蟲飛,"{'en': 0, 'zh': 1}",user
Ericliu1912,"{'en': 27, 'zh': 48}",user
Sunny00217,"{'en': 12, 'zh': 64}",user
炸裂香巴,"{'en': 0, 'zh': 1}",user
61.239.159.149,"{'en': 0, 'zh': 2}",user
LiamHuang,"{'en': 1, 'zh': 35}",user
